local_id,local_name,local_slug,supabase_id,supabase_name,supabase_slug,match_method,confidence,local_category,supabase_category,local_equipment,supabase_equipment,local_video_asset,supabase_media_path,status,reason
13,Barbell Side Bend,barbell-side-bend,10,Side Bend Abs,side-bend-abs,REVIEW,0.50,Abdominals,ABS,Barbell,Suspended,,video/ABS/gif-female/Abs with side bend FEMME.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
14,Seated bar twist,seated-bar-twist,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
15,Single-arm landmine pull and press,single-arm-landmine-pull-and-press,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
16,Barbell Ab Roll Out - Gethin Variation,barbell-ab-roll-out,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
17,30 Barbell Floor Wiper,30-barbell-floor-wiper,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
18,30 Barbell Roll-Out,30-barbell-roll-out,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
19,Decline plate sit-up,decline-plate-sit-up,2,Sit-Up,sit-up,REVIEW,0.50,Abdominals,ABS,Barbell,Body Only,,video/ABS/gif-male/conventional sit-up male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
20,KV Barbell Hip Thrust,kv-barbell-hip-thrust,588,Barbell Hip Thrust,barbell-hip-thrust,REVIEW,0.74,Abdominals,full legs,Barbell,Barbell,,video/full legs/videos/Barbell Hip Thrust.mp4,CONFLICT,candidate similarity score 0.75; incompatible category
21,Advanced Kettlebell Windmill,advanced-kettlebell-windmill,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
22,Kettlebell Windmill,kettlebell-windmill,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
23,Kettlebell Pass Between The Legs,kettlebell-pass-between-the-legs,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
24,Kettlebell 3-point leg extension,kettlebell-3-point-leg-extension,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
25,Double Kettlebell Swing,double-kettlebell-swing,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
26,Burpee over kettlebell,burpee-over-kettlebell,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
27,Kettlebell toe-touch,kettlebell-toe-touch,9,Toe Touch Crunch,toe-touch-crunch,REVIEW,0.50,Abdominals,ABS,Kettlebells,Bodyweight,,video/ABS/gif-female/Full-range toe-touch crunches FEMME.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
28,Kettlebell swing,kettlebell-swing,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
29,Two-way swing,two-way-swing,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
30,Kettlebell crab reach,kettlebell-crab-reach,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
31,Taylor Single-Arm Kettlebell Swing,taylor-single-arm-kettlebell-swing,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
32,Holman Kettlebell Up to Elbow Down,holman-kettlebell-up-to-elbow-down,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
33,FYR2 Double-Kettlebell Ski,double-kettlebell-ski,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
34,FYR2 Kettlebell Hike,kettlebell-hike,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
35,FYR2 Kettlebell Cross-Body Catch,kettlebell-cross-body-catch,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
36,FYR2 Kettlebell Duck Walk,kettlebell-duck-walk,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
37,FYR2 Kettlebell Get-Up Reach,kettlebell-get-up-reach,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
38,FYR2 Kettlebell Juggle,kettlebell-juggle,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
39,FYR2 Squat-Clean-Alternating-Press Complex,squat-clean-alternating-press-complex,,,,UNMATCHED,0.00,Abdominals,,Kettlebells,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
40,Dumbbell V-Sit Cross Jab,dumbbell-v-sit-cross-jab,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
41,Dumbbell spell caster,dumbbell-spell-caster,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
42,Dumbbell side bend,dumbbell-side-bend,10,Side Bend Abs,side-bend-abs,REVIEW,0.50,Abdominals,ABS,Dumbbell,Suspended,,video/ABS/gif-female/Abs with side bend FEMME.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
43,Dumbbell crunch,dumbbell-crunch,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
44,Dumbbell Fix Dumbbell Sprawl,dumbbell-fix-dumbbell-sprawl,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
45,Dumbbell Fix Alternating Renegade Row,dumbbell-fix-alternating-renegade-row,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
46,Dumbbell Fix Dumbbell Mountain Climber,dumbbell-fix-dumbbell-mountain-climber,13,Mountain Climber,mountain-climber,REVIEW,0.50,Abdominals,ABS,Dumbbell,Body Only,,video/ABS/gif-female/Climber abs femme.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
47,Dumbbell Fix Dumbbell Russian Twist,dumbbell-fix-dumbbell-russian-twist,3,Russian Twist,russian-twist,REVIEW,0.50,Abdominals,ABS,Dumbbell,Body Only,,video/ABS/gif-male/Russian twist male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
48,Dumbbell Fix Dumbbell Pull-Over,dumbbell-fix-dumbbell-pullover,203,Dumbbell Pullover,dumbbell-pullover,REVIEW,0.67,Abdominals,Chest,Dumbbell,Dumbbell,,video/Chest/gif-male/dumbbell-pullover male.gif,CONFLICT,candidate similarity score 0.67; incompatible category
49,Dumbbell Fix Dumbbell Sit-Up,dumbbell-fix-dumbbell-sit-up,2,Sit-Up,sit-up,REVIEW,0.50,Abdominals,ABS,Dumbbell,Body Only,,video/ABS/gif-male/conventional sit-up male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
50,Dumbbell Fix Dumbbell Front Squat,dumbbell-fix-dumbbell-front-squat,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
51,Dumbbell Fix Full Man Maker,dumbbell-fix-full-man-maker,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
52,Dumbbell T-hold,dumbbell-t-hold,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
53,Dumbbell hollow-body floor press,dumbbell-hollow-body-floor-press,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
54,Dumbbell crusher,dumbbell-crusher,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
55,Dumbbell Crunch - Gethin Variation,dumbbell-crunch,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
56,Single-arm dumbbell crunch,single-arm-dumbbell-crunch,63,Single-Arm Dumbbell Row,single-arm-dumbbell-row,REVIEW,0.60,Abdominals,BACK and TRAPEZIUS,Dumbbell,Dumbbell,,video/BACK and TRAPEZIUS/gif-female/Single-arm row with bench support femme.gif,CONFLICT,candidate similarity score 0.60; incompatible category
57,HM Alternating Dumbbell Plank Row,hm-alternating-dumbbell-plank-row,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
58,Dumbbell straight-legged hip raise,dumbbell-straight-legged-hip-raise,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
59,Seated leg tuck with dumbbell,seated-leg-tuck-with-dumbbell,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
60,Dumbbell V-sit cross jab-,dumbbell-v-sit-cross-jab,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
61,30 Hanging Leg Raise With Dumbbell,30-hanging-leg-raise-with-dumbbell,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
62,Dumbbell Get-Up Sit-Up,dumbbell-get-up-sit-up,2,Sit-Up,sit-up,REVIEW,0.50,Abdominals,ABS,Dumbbell,Body Only,,video/ABS/gif-male/conventional sit-up male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
63,Holman Right Side Plank with Left Triceps Press,holman-right-side-plank-with-left-triceps-press,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
64,Holman Left Side Plank with Right Triceps Press,holman-left-side-plank-with-right-triceps-press,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
65,Holman Boat with Feet Push-Out and Overhead Press,holman-boat-with-feet-push-out-and-overhead-press,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
66,Holman Hovering Plank Row,holman-hovering-plank-row,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
67,Holman Weighted Seated Killer Abs to Russian Twist,holman-weighted-seated-killer-abs-to-russian-twist,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
68,Holman Straight Plank Dumbbell Reach-Under,holman-straight-plank-dumbbell-reach-under,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
69,Holman Straight-Arm Side Plank Overhead Press to Chest Press,holman-straight-arm-side-plank-overhead-press-to-chest-press,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
70,Holman Weighted Burpee to Pike,holman-weighted-burpee-to-pike,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
71,Holman Straight-Legged Boat Chest Press,holman-straight-legged-boat-chest-press,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
72,Holman Weighted Burpee to Side Delt Raise,holman-weighted-burpee-to-side-delt-raise,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
73,Holman Heavy Double Pike,holman-heavy-double-pike,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
74,Holman Heavy Double Split Pike,holman-heavy-double-split-pike,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
75,MetaBurn Alternating Dumbbell Sit-Through,metaburn-alternating-dumbbell-sit-through,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
76,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,metaburn-alternating-plank-row-with-dumbbell-pull-through,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
77,MetaBurn Alternating Plank Row With Push-Up,metaburn-alternating-plank-row-with-push-up,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
78,MetaBurn Dumbbell Russian Twist,metaburn-dumbbell-russian-twist,3,Russian Twist,russian-twist,REVIEW,0.50,Abdominals,ABS,Dumbbell,Body Only,,video/ABS/gif-male/Russian twist male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
79,MetaBurn Dumbbell Toe-Touch,metaburn-dumbbell-toe-touch,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
80,MetaBurn Plank To Alternating Row,metaburn-plank-to-alternating-row,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
81,Standing dumbbell knee crunch-,standing-dumbbell-knee-crunch,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
82,MetaBurn Plank With Dumbbell Rotation,metaburn-plank-with-dumbbell-rotation,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
83,FYR2 Dumbbell Crab Reach,dumbbell-crab-reach,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
84,FYR2 Dumbbell Man-Maker,dumbbell-man-maker,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
85,FYR2 Dumbbell Sit-Up Reach,dumbbell-sit-up-reach,2,Sit-Up,sit-up,REVIEW,0.50,Abdominals,ABS,Dumbbell,Body Only,,video/ABS/gif-male/conventional sit-up male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
86,FYR2 Loaded Beast Sprawl,loaded-beast-sprawl,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
87,FYR2 Loaded to Unloaded Beast,loaded-to-unloaded-beast,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
88,Lying Leg Pullover,lying-leg-pullover,,,,UNMATCHED,0.00,Abdominals,,Dumbbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
89,Landmine twist,landmine-twist,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
90,Suspended ab fall-out,suspended-ab-fall-out,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
91,Decline reverse crunch,decline-reverse-crunch,17,Decline Crunch,decline-crunch,REVIEW,0.67,Abdominals,ABS,Other,Body Only,,video/ABS/gif-male/Complete decline bench for abs MALE.gif,CONFLICT,candidate similarity score 0.67; incompatible  equipment
92,Plate Twist,plate-twist,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
93,Weighted Crunches,weighted-crunch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
94,Ab Roller,ab-roller,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
95,Otis-Up,otis-up,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
96,Captain's chair knee raise,captain-s-chair-knee-raise,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
97,Sledgehammer swing,sledgehammer-swing,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
98,Decline bar press sit-up,decline-bar-press-sit-up,,,,UNMATCHED,0.00,Abdominals,,Barbell,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
99,Pallof press,pallof-press,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
100,Weighted Sit-Ups - With Bands,weighted-sit-ups-with-bands,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
101,Suitcase crunch,suitcase-crunch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
102,FYR Rope Jumping,rope-jumping,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
103,Barbell press sit-up,barbell-press-sit-up,2,Sit-Up,sit-up,REVIEW,0.50,Abdominals,ABS,Other,Body Only,,video/ABS/gif-male/conventional sit-up male.gif,CONFLICT,candidate similarity score 0.50; incompatible  equipment
104,Single-arm bent-over rear delt fly,single-arm-bent-over-rear-delt-fly,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
105,Captain's chair leg raise,captain-s-chair-leg-raise,52,Leg Raise,leg-raise,ALIAS_MEDIA_MATCH,0.99,Abdominals,ABS,Other,Bodyweight,leg raises.mp4,video/ABS/videos/leg raises.mp4,CONFLICT,local linked video filename equals Supabase media filename: leg raises.mp4; incompatible  equipment
106,Shoulder-Elevated One-Leg Hip Thrusts,shoulder-elevated-one-leg-hip-thrusts,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
107,Ab Twist - Gethin Variation,ab-twist,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
108,Weighted Crunch - Gethin Variation,weighted-crunch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
109,Ab Wheel Roll-Out - Gethin Variation,ab-wheel-roll-out,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
110,Bench crunch,bench-crunch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
111,Decline plate sit-up twist,decline-plate-sit-up-twist,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
112,Reverse ab roll-out,reverse-ab-roll-out,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
113,30 Seated Twist With PVC Pipe,30-seated-twist-with-pvc-pipe,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
114,Suspended crunch-,suspended-crunch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
115,Suspended oblique crunch,suspended-oblique-crunch,43,Oblique Crunch,oblique-crunch,REVIEW,0.67,Abdominals,ABS,Other,Body Only,,video/ABS/gif-male/Oblique abs MALE.gif,CONFLICT,candidate similarity score 0.67; incompatible  equipment
116,Weighted sit-up,weighted-sit-up,47,Weighted Sit-Up,weighted-sit-up,EXACT_SLUG,1.00,Abdominals,ABS,Other,Other,,video/ABS/gif-male/weighted sit-ups male.gif,VERIFIED,local derived slug equals Supabase slug; normalized local name equals normalized Supabase name; local alias equals Supabase name: weighted sit up; local alias equals Supabase slug: weighted sit up
117,30 Decline Press Sit-Up,30-decline-press-sit-up,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
118,Holman Towel Reverse Plank Alternating Heel Pull-in,holman-towel-reverse-plank-alternating-heel-pull-in,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
119,Holman Boat with Weighted Cross Punch,holman-boat-with-weighted-cross-punch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
120,Holman Weighted Hook Punch,holman-weighted-hook-punch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
121,Holman Weighted Traveling Punch,holman-weighted-traveling-punch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
122,Holman Weighted Uppercut Punch,holman-weighted-uppercut-punch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
123,Holman Slow Weighted Double Pike,holman-slow-weighted-double-pike,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
124,Holman Plate Straight Plank Reach,holman-plate-straight-plank-reach,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
125,Holman Plate Elbow Plank Jack to Straight Plank Jack,holman-plate-elbow-plank-jack-to-straight-plank-jack,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
126,Holman Plate Hill Climber,holman-plate-hill-climber,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
127,Holman Plate Reverse Plank Hill Climber,holman-plate-reverse-plank-hill-climber,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
128,Holman Plate Straight Plank Pike to Jack,holman-plate-straight-plank-pike-to-jack,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
129,Holman Plate In-and-Out Push-Up,holman-plate-in-and-out-push-up,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
130,Holman Plate Burpee,holman-plate-burpee,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
131,Holman Plate Elbow Plank Reach,holman-plate-elbow-plank-reach,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
132,Holman Elbow Plank to Renegade Row,holman-elbow-plank-to-renegade-row,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
133,Holman Straight Plank Weighted Hand Hill Climber,holman-straight-plank-weighted-hand-hill-climber,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
134,Holman Weighted Left Side Diagonal Pike,holman-weighted-left-side-diagonal-pike,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
135,Holman Weighted Right Side Diagonal Pike,holman-weighted-right-side-diagonal-pike,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
136,Holman Weighted W-Boat to Overhead Press,holman-weighted-w-boat-to-overhead-press,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
137,Holman Weighted Kneeling Lift,holman-weighted-kneeling-lift,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
138,Holman Hips-Up Weighted Pull-Over,holman-hips-up-weighted-pullover,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
139,Holman Weighted Cross Punch,holman-weighted-cross-punch,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
140,Holman Straight-Leg Boat Hover Chest Press,holman-straight-leg-boat-hover-chest-press,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
141,Holman Weighted Pike,holman-weighted-pike,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
142,Holman Feet-Elevated Wax-On Wax-Off,holman-feet-elevated-wax-on-wax-off,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
143,Holman Elbow Plank to Towel Pike,holman-elbow-plank-to-towel-pike,,,,UNMATCHED,0.00,Abdominals,,Other,,,,UNMATCHED,no deterministic Supabase slug/name/alias/media match
